r_R,alpha,phi,Cl,Cd,gamma,Cy,Cx,V_i_x,V_i_y,V_i_z
0.503125,-1.43517990027388,56.27892990027388,0.38431541940866815,0.010252592803989045,1.4876411849986424,0.3139626297336868,0.22188042812553962,1.4024300627964037,0.3136916272495674,-6.430831475383552
0.521875,-1.3664535641964122,55.27270356419641,0.39217771225593046,0.010255341857432144,1.528591662373681,0.31647799700170826,0.23184090976506916,1.5556325704510818,0.38450172109433045,-6.513321435252933
0.540625,-1.3119919200064416,54.28074192000644,0.3984081243512631,0.010257520323199742,1.563889308238273,0.3174740281542526,0.24092424477371557,1.7056536514700527,0.4590343881732596,-6.57450208417048
0.559375,-1.271638520053024,53.302888520053024,0.40302455330593406,0.010259134459197879,1.5934510980440983,0.3170167110542518,0.2490671502218722,1.851361195373281,0.537304785833539,-6.6143874245395065
0.578125,-1.2452281757345673,52.33897817573457,0.40604589669596547,0.010260190872970617,1.617191780479086,0.3151730579390064,0.25621179771774005,1.9916590426657559,0.6193228294424753,-6.633056205117096
0.5968749999999999,-1.2325844791574951,51.388834479157495,0.4074923355843826,0.0102606966208337,1.6350265339243262,0.31201105237787696,0.2623059066228009,2.125480957768833,0.705096485519534,-6.630647128215248
0.615625,-1.2335198820518514,50.45226988205185,0.4073853254932682,0.010260659204717927,1.6468724843091018,0.3075993811156681,0.2673026473715317,2.251788502908318,0.7946362748772943,-6.6073556208849675
0.634375,-1.2478375092607692,49.52908750926077,0.405747388940568,0.010260086499629568,1.6526494069190956,0.3020070415957487,0.271160395031524,2.369572269661807,0.8879608864013002,-6.56343119630927
0.653125,-1.275334302667737,48.61908430266774,0.4026017557748109,0.01025898662789329,1.652279755909249,0.2953028729388801,0.27384235208169583,2.477856323383109,0.9851039450286162,-6.499174760353782
0.671875,-1.3158053263610228,47.72205532636102,0.397971870664299,0.010257367786945559,1.6456880632392703,0.2875550345213924,0.2753160466724724,2.575706028195416,1.0861220732919836,-6.414935323977718
0.6906249999999999,-1.369049263590675,46.837799263590675,0.3918807642452268,0.010255238029456373,1.632799656847754,0.27883043804480884,0.2755526993375384,2.6622397311127117,1.1911044636053771,-6.311105637004942
0.709375,-1.434875435072641,45.96612543507264,0.38435025022768987,0.010252604982597094,1.6135385014413435,0.26919411519299985,0.27452642696919893,2.7366452218175232,1.3001844183412408,-6.1881164168578175
0.728125,-1.5130684121655165,45.10681841216552,0.3753997462833987,0.010250522736486621,1.5878232302176227,0.2587074391055394,0.2722140769274524,2.7981527266270927,1.4135478976816311,-6.046381221342968
0.746875,-1.603266847994277,44.25951684799428,0.36504496585025703,0.010254130673919771,1.5555623142504695,0.24742445824428919,0.2685965594549065,2.8459056845069792,1.5314346061358999,-5.886143709149403
0.765625,-1.7055773981580344,43.424327398158034,0.35329971469145766,0.010258223095926321,1.5166629235277833,0.23540642040003446,0.2636469927319358,2.8796892694874656,1.6542466039128667,-5.708096213366759
0.784375,-1.819943172358549,42.60119317235855,0.3401705238132386,0.010262797726894342,1.4710082826353692,0.2227041967609937,0.25734053515448524,2.8992751051097176,1.7824883065879185,-5.512650860569871
0.803125,-1.9463869731176402,41.79013697311764,0.3256547754860949,0.010267855478924705,1.4184499454157948,0.20936207029633888,0.24964772214916323,2.904754316184742,1.9168278099772673,-5.300115931230794
0.8218749999999999,-2.0850412973373977,40.991291297337405,0.30973725906566674,0.01027850412973374,1.3587927915302895,0.1954120819467335,0.24053468674995715,2.8966756143012566,2.058125411800369,-5.070598183163047
0.840625,-2.236192073162414,40.204942073162414,0.2923851500009549,0.010293619207316241,1.2917726054048793,0.18087985258268904,0.2299511110369567,2.8762592213201117,2.207445703123264,-4.823841042772713
0.859375,-2.400343783386816,39.431593783386816,0.2735405336671935,0.01031003437833868,1.2170220481713863,0.16577775181574708,0.21782666818076274,2.845738067607627,2.3660152434457435,-4.558948407607158
0.8781249999999999,-2.578053411165662,38.67180341116566,0.2531082470337157,0.010334049614009818,1.1340142660419685,0.15008865745498823,0.2040685478001558,2.8085436371886607,2.534987544830045,-4.2736231306253725
0.8968750000000001,-2.7704745504850976,37.9267245504851,0.23094133178411674,0.010368685419087318,1.0419939971451941,0.1337700326584719,0.18853908540695968,2.7707772399759394,2.7148685153015846,-3.9636905908182594
0.915625,-2.9799175613871753,37.19866756138718,0.2068134969281974,0.010406385161049692,0.9398447058915393,0.11674628277575257,0.17102754404432532,2.7433341526635595,2.903677030620564,-3.6218193598799857
0.9343749999999998,-3.2095417251288723,36.49079172512888,0.18036079326515392,0.010464480848533507,0.8257969665662024,0.09884646219619611,0.15122466074672108,2.743418523244034,3.091357678278585,-3.2343034296706197
0.953125,-3.464684839148674,35.808434839148674,0.15096830653007273,0.010530818058178655,0.6968258398292996,0.07978783588788176,0.1285932694578566,2.7976051035833542,3.2451294940745656,-2.780510934765945
0.971875,-3.7559036357898137,35.162153635789814,0.11741990115701346,0.010627007236168537,0.5467870215777526,0.05893338309598942,0.10211377393565345,2.9373543920690404,3.2810613970272535,-2.2490547474388776
0.990625,-4.1145454215182085,34.58329542151821,0.07608145835679875,0.010760399985468013,0.3575064843695962,0.03432506234606091,0.06874565156054303,3.183704762472198,3.0694325391319905,-1.7158038109737621
