r_R,alpha,phi,Cl,Cd,gamma,Cy,Cx,Ct,a,aline,V_i_x,V_i_y,V_i_z
0.5125,-2.9817199112386987,58.3567199112387,0.2066058662253019,0.010406709584022967,0.7825851572930598,0.17043029142492008,0.1172510099226883,0.0476216608955669,0.028836669888562705,-0.5123063878939604,1.7302001933137592,0.41975445372525944,-2.777600153218857
0.5375000000000001,-2.9525068938856194,57.07750689388562,0.20997120582437664,0.010401451240899412,0.8000026880953959,0.17059797719297914,0.12285124191852238,0.048624910311993536,0.030746310732661097,-0.44464301399137707,1.8447786439596656,0.3704648189975462,-2.7661004406973237
0.5625,-2.9431301915044656,55.818130191504466,0.21105140193868555,0.010399763434470804,0.8088712336824738,0.16875123167095815,0.1271765353723405,0.04916941885262654,0.03231647954061945,-0.3825395211072029,1.9389887724371722,0.33325580701833823,-2.7358332469758944
0.5875,-2.952517775743253,54.57751777574325,0.20996995223437723,0.010401453199633787,0.8095299348500036,0.16507591184775555,0.1301749376708238,0.049269518196436914,0.03356780640825052,-0.32531259054149597,2.014068384495036,0.3041869215358452,-2.6842936152961943
0.6125,-2.9799799541492007,53.3549799541492,0.20680630928201207,0.010406396391746857,0.8021272496823489,0.159719667733734,0.1317830428535288,0.04892658103953755,0.03448902248574348,-0.2723512322945887,2.0693413491446178,0.28035338808708005,-2.6107059591812862
0.6375,-3.024677837419496,52.1496778374195,0.20165711312927403,0.01041641623772907,0.7868712616283725,0.15284024218741488,0.13196193909973744,0.04814528527540051,0.03505056563607911,-0.22311868076801478,2.1030339381647427,0.25975457632098353,-2.514858925793976
0.6625000000000001,-3.0859048311360198,50.96090483113601,0.19460376345313052,0.010432335256095366,0.7639143344921228,0.144581117023416,0.13067424753668505,0.046926368962677815,0.035217834897205647,-0.1771534619024271,2.1130700938323397,0.24105601450932856,-2.3970966945840586
0.6875,-3.1629315298182377,49.78793152981824,0.18573028776493902,0.010452362197752743,0.7334276283138231,0.1350865629762242,0.12789297155055346,0.04527094587816176,0.03495313535483979,-0.1340578349161361,2.097188121290397,0.22334335254682922,-2.258015413668013
0.7125,-3.254939096989098,48.6299390969891,0.1751310160268559,0.010476284165217167,0.6956357068724189,0.12450423014866978,0.12360955456434711,0.0431839650319108,0.03421621508044148,-0.09348717873823209,2.052972904826484,0.2059596437072092,-2.0983288362748036
0.7375,-3.361114600952554,47.486114600952554,0.16289959797026576,0.010503889796247666,0.6507767119072081,0.11297730557056215,0.11782503615845724,0.040671511450670834,0.032966375468951536,-0.05514314431238576,1.9779825281370929,0.18841745199019277,-1.9189374925960563
0.7625,-3.4804685463219656,46.355468546321966,0.14915002346370956,0.010534921822043712,0.599188737847149,0.10065925984704235,0.11056413290062603,0.037746077131973275,0.0311594430068991,-0.01876307719351078,1.869566580413946,0.17030936328255225,-1.7207300072240292
0.7875000000000001,-3.6119202676317883,45.23692026763178,0.13400678516881798,0.010578052890994808,0.5412740727292135,0.0876992998479017,0.10187515143760152,0.03442671029313255,0.02874887993716313,0.01588458578626295,1.7249327962297856,0.15127363770766497,-1.5046715567383888
0.8125,-3.7541285045920816,44.12912850459208,0.11762439627099221,0.010626403691561308,0.4775806730108911,0.07427191571774579,0.09182647542592223,0.030738009788812113,0.0256821486694625,0.04900847063531111,1.5409289201677443,0.13093779571399428,-1.271640361752689
0.8375000000000001,-3.9054626800752885,43.03046268007528,0.10019069925532677,0.010677857311225598,0.408819532772568,0.0605634236913328,0.08052493132449315,0.026716452799926443,0.02189920537989476,0.08079904467023258,1.3139523227936838,0.1088853425047241,-1.022417375295432
0.8625,-4.063692152611317,41.93869215261132,0.08194992558865402,0.01073802454714898,0.3359625631760981,0.0467824157821763,0.06813590132041028,0.022416953586423937,0.01732495863009431,0.11143783507877414,1.039497517805661,0.08458477722022897,-0.7574053926247822
0.8875000000000001,-4.225892946294032,40.85089294629403,0.06323195399766876,0.010809392896369374,0.26036781164863754,0.03318318249010642,0.054899903287525684,0.01791798864684141,0.0118652417205789,0.1411021068655699,0.7119145032347309,0.05734277533727302,-0.4765807655507434
0.9125000000000001,-4.388152234401893,39.763152234401886,0.04450723215002152,0.010880786983136834,0.1840122526748846,0.020103507463909914,0.04117200780477954,0.013333878945020684,0.0053981228753234856,0.16997262077111563,0.32388737251940575,0.026222786966191684,-0.17925107186016234
0.9375000000000001,-4.544405916447531,38.66940591644753,0.02648443842524448,0.010953091076552717,0.10990455054173873,0.007996380656471076,0.027521874558769435,0.00884594279581219,-0.002255402741745849,0.19825671776862397,-0.1353241645047511,-0.01015873152516884,0.13701822161135455
0.9625000000000001,-4.6845680441293425,37.559568044129335,0.010337761316299748,0.01102597538294726,0.04304163554322356,-0.0024387575843636987,0.01491622953775018,0.004758462391966913,-0.01138098227199369,0.22622366414332762,-0.6828589363196196,-0.05390407489421017,0.47813391321447596
0.9875000000000002,-4.787977640936987,36.41297764093699,-0.0015750242359408723,0.011079748373287233,-0.006576540969181564,-0.009851467522190809,0.005309436224156186,0.0016810359876006165,-0.02254145049048939,0.2543269166343992,-1.3524870294293643,-0.10856669471812405,0.8594047882897738
